Province/State,Country/Region,Lat,Long,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20
,Germany,51,9,0,0,0,0,3.0,0.0,0,0,3.0,0.6666666666666666,1.0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,1.9,0.10526315789473684,15.5,1.6451612903225807,0.5686274509803921,1.2758620689655173,1.7837837837837838,3.3333333333333335,0.8545454545454545,0.6861702127659575,1.8682170542635659,0.5643153526970954,2.0661764705882355,1.604982206405694,0.376940133037694,9.394117647058824,0.569818409517846,1.3296703296703296,1.2206611570247934,1.3439404197698037,1.5465994962216625,0.9749185667752444,1.5128633478115603,0.5223056537102474
,Finland,64,26,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,3.0,0.0,0,0,0,0.5,0.0,0,0.875,1.4285714285714286,1.9,0.0,0,0.7291666666666666,0.2714285714285714,1.736842105263158,1.3333333333333333,0.3409090909090909,4.266666666666667,0.78125,1.46
,United Arab Emirates,24,54,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.3333333333333333,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,1.8,0.0,0
,Philippines,13,122,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4.0,2.5,1.3,1.2307692307692308,0.1875,4.0,3.9166666666666665,0.6170212765957447,0.06896551724137931,22.5,0.3333333333333333,1.0,0.8666666666666667,5.923076923076923
,India,21,78,0,0,0,0,0,0,0,0.0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.08695652173913043,0.5,3.0,1.6666666666666667,0.8,3.25,0.46153846153846156,1.8333333333333333,0.8181818181818182,2.2222222222222223,0.55,0.5454545454545454,3.8333333333333335,0.6086956521739131,2.7142857142857144,1.3157894736842106,1.72
,Italy,43,12,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4705882352941178,2.2142857142857144,0.7956989247311828,1.2567567567567568,1.4086021505376345,1.5419847328244274,1.1534653465346534,1.0300429184549356,2.3583333333333334,0.6042402826855123,1.3625730994152048,1.259656652360515,1.3100511073253833,1.011703511053316,1.6028277634961439,1.1964715316760224,1.2044235924932976,0.5436839176405119,2.367451381780962,0.0,0,0.6727587533666795,1.0265942236202459,0.9005571030640669,1.0906278997834828,1.1931366988088485,1.2650344663655813,1.1247651258925215,1.0953892415636486
,Sweden,63,16,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0,0.4,0.5,6.0,2.3333333333333335,4.214285714285714,0.11864406779661017,8.571428571428571,0.7,1.0714285714285714,2.3777777777777778,1.355140186915888,0.6827586206896552,2.1717171717171717,0.6837209302325581,0.41496598639455784,1.3278688524590163,1.0740740740740742,1.0229885057471264,1.797752808988764,1.25,0.62
,Spain,40,-4,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0.2857142857142857,8.5,0.7647058823529411,3.0,0.9230769230769231,1.25,1.2666666666666666,0.6491228070175439,3.810810810810811,0.7092198581560284,1.73,2.3121387283236996,1.555,0.9356913183279743,0.0,0,0.3922165820642978,1.2139775668679897,1.5238095238095237,0.8423507462686567,1.1971207087486158,1.8746530989824237,0.6037503084135208,2.0286064568859827
South Australia,Australia,-34.9285,138.6007,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.42857142857142855,0.3333333333333333,9.0,0.0,0,0.625,1.6,2.125
,Belgium,50.8333,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.8333333333333334,2.0,2.7,2.185185185185185,1.0169491525423728,0.5166666666666667,1.2580645161290323,0.717948717948718,1.6785714285714286,0.0,0,0.5306122448979592,1.5153846153846153,0.8730964467005076,1.0755813953488371,1.3135135135135134,1.271604938271605,1.4951456310679612,1.2077922077922079
